name,slug,industry,sector,hq_city,hq_state,size,score,certified_date,bcorp_profile_url
Veritable Vegetable,veritable-vegetable,Agricultural Processing,Agriculture/Growers,,,50-249,110.3,2014-03-30,https://www.bcorporation.net/en-us/find-a-b-corp/company/veritable-vegetable/
"Wicked Joe, Wicked Leaf & Benbows Coffee",wicked-joe,Agricultural Processing,Manufacturing,Topsham,Maine,10-49,105.7,2016-06-06,https://www.bcorporation.net/en-us/find-a-b-corp/company/wicked-joe/
Winderlea Vineyard and Winery,winderlea-vineyard-and-winery,Agricultural Processing,Agriculture/Growers,Dundee,Oregon,1-9,114.2,2015-03-29,https://www.bcorporation.net/en-us/find-a-b-corp/company/winderlea-vineyard-and-winery/
Wonderstate Coffee,wonderstate-coffee,Agricultural Processing,Agriculture/Growers,Viroqua,Wisconsin,50-249,91.5,2025-09-28,https://www.bcorporation.net/en-us/find-a-b-corp/company/wonderstate-coffee/
686 Technical Apparel,686,Apparel,Wholesale/Retail,Gardena,California,10-49,80.5,2024-03-05,https://www.bcorporation.net/en-us/find-a-b-corp/company/686/
Adore Me,adore-me,Apparel,Wholesale/Retail,New York,New York,250-999,89.2,2022-08-31,https://www.bcorporation.net/en-us/find-a-b-corp/company/adore-me/
Alex Crane,alex-crane,Apparel,Wholesale/Retail,Brooklyn,New York,1-9,87.2,2025-05-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/alex-crane/
Alliance Graphics,alliance-graphics,Apparel,Wholesale/Retail,Berkeley,California,10-49,80.5,2025-09-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/alliance-graphics/
Alp N Rock,alp-n-rock,Apparel,Wholesale/Retail,San Marcos,California,10-49,82.9,2023-03-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/alp-n-rock/
Another Tomorrow Inc.,another-tomorrow-inc,Apparel,Wholesale/Retail,New York,New York,10-49,93.8,2020-06-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/another-tomorrow-inc/
Apolis Holdings LLC,apolis-holdings-llc,Apparel,Wholesale/Retail,Los Angeles,California,1-9,85.1,2012-03-11,https://www.bcorporation.net/en-us/find-a-b-corp/company/apolis-holdings-llc/
"Atelier Jolie Lifestyle, Inc.",atelier-jolie-lifestyle-inc,Apparel,Manufacturing,New York,New York,1-9,85.6,2023-11-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/atelier-jolie-lifestyle-inc/
"Athleta, Inc.",athleta,Apparel,Wholesale/Retail,San Francisco,California,1000+,94.5,2018-03-05,https://www.bcorporation.net/en-us/find-a-b-corp/company/athleta/
Bombas LLC,bombas,Apparel,Wholesale/Retail,New York,New York,50-249,103.1,2017-12-19,https://www.bcorporation.net/en-us/find-a-b-corp/company/bombas/
CLOZTALK,cloztalk,Apparel,Wholesale/Retail,Royal Oak,Michigan,0,92.1,2022-01-12,https://www.bcorporation.net/en-us/find-a-b-corp/company/cloztalk/
COMMUNAUTÉ LTD. dba DÔEN,communaut-ltd,Apparel,Wholesale/Retail,Van Nuys,California,50-249,86.1,2026-03-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/communaut-ltd/
"Carhartt, Inc.",carhartt-inc-developed-market,Apparel,Wholesale/Retail,Dearborn,Michigan,1000+,81.2,2026-04-27,https://www.bcorporation.net/en-us/find-a-b-corp/company/carhartt-inc-developed-market/
Cariloha,cariloha,Apparel,Wholesale/Retail,Sandy,Utah,50-249,81.9,2023-01-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/cariloha/
City Apparel + Merch,city-apparel,Apparel,Wholesale/Retail,Findlay,Ohio,10-49,123.7,2024-03-03,https://www.bcorporation.net/en-us/find-a-b-corp/company/city-apparel/
Cleobella LLC,cleobella-llc,Apparel,Wholesale/Retail,Huntington Beach,California,10-49,82.9,2024-07-29,https://www.bcorporation.net/en-us/find-a-b-corp/company/cleobella-llc/
Colorado Threads,colorado-threads,Apparel,Manufacturing,Lakewood,Colorado,0,134.9,2025-09-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/colorado-threads/
Coradorables Sustainable Corporation,coradorablesllc,Apparel,Wholesale/Retail,Honolulu,Hawaii,0,107.7,2023-09-11,https://www.bcorporation.net/en-us/find-a-b-corp/company/coradorablesllc/
Cotopaxi,cotopaxi,Apparel,Wholesale/Retail,Salt Lake City,Utah,50-249,125.6,2015-12-27,https://www.bcorporation.net/en-us/find-a-b-corp/company/cotopaxi/
DVAA LLC,dvaa,Apparel,Wholesale/Retail,Westwood,New Jersey,0,101.1,2026-05-25,https://www.bcorporation.net/en-us/find-a-b-corp/company/dvaa/
Definite Articles,definite-articles,Apparel,Wholesale/Retail,Longboat Key,Florida,1-9,105.7,2023-07-09,https://www.bcorporation.net/en-us/find-a-b-corp/company/definite-articles/
Descalza LLC,descalza-llc,Apparel,Wholesale/Retail,Sanford,North Carolina,0,90.2,2023-01-17,https://www.bcorporation.net/en-us/find-a-b-corp/company/descalza-llc/
Eddy Aesthetic,eddy-aesthetic,Apparel,Wholesale/Retail,San Francisco,California,1-9,86.3,2025-10-30,https://www.bcorporation.net/en-us/find-a-b-corp/company/eddy-aesthetic/
Eileen Fisher,eileen-fisher-inc,Apparel,Wholesale/Retail,Irvington,New York,250-999,109.4,2015-12-17,https://www.bcorporation.net/en-us/find-a-b-corp/company/eileen-fisher-inc/
Faherty Brand LLC,faherty-brand-llc,Apparel,Wholesale/Retail,New York,New York,250-999,85.7,2024-07-28,https://www.bcorporation.net/en-us/find-a-b-corp/company/faherty-brand-llc/
Fair Harbor,fair-harbor,Apparel,Wholesale/Retail,New York City,New York,10-49,94.3,2022-06-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/fair-harbor/
Fervor and Zeal LLC,fervor-and-zeal-llc,Apparel,Wholesale/Retail,San Diego,California,0,87.3,2025-07-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/fervor-and-zeal-llc/
